Track Title,Artist Name,ISRC,Genre,Label Name,Composer(s),Language,Explicit,Release Date,Cover Art Dimensions,File Format,UPC,Label Manager Name,Imprint Name,Release Name,Marketing Blurb,Mood
Track 1,Rico Beats,US-ABC-23-00001,Electro,Echo Productions,Rico Beats,fr,Yes,2024-06-01,3000x3000,AAC,541507790259,Bob,ML-Imprint,Rico Beats - Track 1,Track 1 by Rico Beats: A new Electro journey.,Dreamy
Track 2,Kai,US-ABC-23-00002,Ambient,StarSound,Kai,pt,Yes,2024-06-02,3000x3000,AAC,525815370599,Bob,SSound-Imprint,Kai - Track 2,Track 2 by Kai: A new Ambient journey.,Chill
Track 3,Mila Sun,INVALID,Pop,Moonlight Label,Mila Sun,de,No,2024-06-03,3000x3000,AAC,190224662780,Carol,SS-Imprint,Mila Sun - Track 3,,Uplifting
Track 4,Mila Sun,US-ABC-23-00004,Pop,Echo Productions,Mila Sun,en,Yes,2024-06-04,3000x3000,FLAC,561770120758,Carol,Echo-Imprint,Mila Sun - Track 4,Track 4 by Mila Sun: A new Pop journey.,Melancholic
Track 5,Luna Grey,US-ABC-23-00005,Rock,Sunset Music,Luna Grey,de,No,2024-06-05,3000x3000,MP3,482104480059,Eve,SS-Imprint,Luna Grey - Track 5,Track 5 by Luna Grey: A new Rock journey.,Melancholic
Track 6,Rico Beats,INVALID,,StarSound,Rico Beats,es,No,2024-06-06,3000x3000,FLAC,953023440299,Bob,SSound-Imprint,Rico Beats - Track 6,Track 6 by Rico Beats: A new Electro journey.,Chill
Track 7,Rico Beats,US-ABC-23-00007,Rock,StarSound,Rico Beats,de,No,2024-06-07,3000x3000,MP3,113678845749,Bob,SS-Imprint,Rico Beats - Track 7,Track 7 by Rico Beats: A new Rock journey.,Melancholic
Track 8,Rico Beats,US-ABC-23-00008,Rock,Sunset Music,Rico Beats,de,No,2024-06-08,3000x3000,WAV,271130969812,Alice,SSound-Imprint,Rico Beats - Track 8,Track 8 by Rico Beats: A new Rock journey.,Energetic
Track 9,Rico Beats,US-ABC-23-00009,Pop,GreyHouse Records,Rico Beats,fr,Yes,2024-06-09,3000x3000,WAV,773460307982,Alice,SSound-Imprint,Rico Beats - Track 9,Track 9 by Rico Beats: A new Pop journey.,Uplifting
Track 10,Kai,US-ABC-23-00010,Ambient,Sunset Music,Kai,en,No,2024-06-10,3000x3000,AAC,799097282848,Alice,SSound-Imprint,Kai - Track 10,Track 10 by Kai: A new Ambient journey.,Chill
